exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_103513521,1,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"Which of these transactions requires a selling broker to perform a reasonably competent visual inspection, according to California Civil Code Section 2079?",Sale of a four-bedroom ranch home,Sale of a home as ordered by a probate court,Sale of a six-unit apartment building,Transfer of a three-unit apartment building by a trustee in a bankruptcy,A,California code requires a selling broker to perform a reasonably competent visual inspection of the property for transfers of residential property of one-to-four units.
examreview_103513521,2,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,A licensee works at a brokerage that deals primarily in a mountainous county in California. Which of the following questions would best help the licensee understand the environmental issues unique to the county?,Are any home owners in the county required to maintain defensible areas around their home?,How do dirt roads in these rural areas affect our sales?,What is the population density in the county?,What property that we've listed has the highest elevation?,A,"Not all counties are affected by state requirements to maintain a defensible area around the home in case of fire, which makes this an important piece of information for a licensee to know."
examreview_103513521,3,Financing,General Concepts,"When consumers make a small down payment, borrow the remaining amount of the purchase price from a lender, and reap the rewards off of the full investment value, they are demonstrating what concept?",Collateral,Disintermediation,Leveraging,Levying,C,To leverage is to put up a small amount of money to obtain a loan of a larger amount.
examreview_103513521,4,"Practice of Real Estate and Disclosures, Including Specialty Areas",Record Keeping Requirements,"Which entity provides oversight for real estate transactions and regulations, including recordkeeping?",Attorney general's office,California Department of Real Estate,Generally Accepted Accounting Society,Trust Fund Bureau,B,The California Department of Real Estate provides oversight for real estate transactions and regulations.
examreview_103513521,5,Property Ownership and Land Use Controls and Regulations,Encumbrances,Sam grants Steve a license to hunt deer on his property. Which of the following statements about the license is true?,Sam can revoke the license at any time.,The license is a permanent privilege.,The license is assignable.,The license is inheritable.,A,"A license is temporary, and at the discretion of the property owner. A license is not assignable or inheritable."
examreview_103513521,6,Property Ownership and Land Use Controls and Regulations,Property Characteristics,A homebuyer decides to invest their small inheritance in real estate. They plan to add a building to immediately increase the value of the investment. Which economic characteristic of real property is this?,Area preference,Improvements,Permanence,Scarcity,B,The economic characteristic of improvements says that a land's value can be influenced by changes that are made to it.
examreview_103513521,7,Contracts,General,"Which of the following describes a contract that exists based not on words, but on the parties' actions or behaviors?",Executed,Executory,Express,Implied,D,"A contract that's based on the parties' actions is implied, while a contract that's based on words, whether spoken or written, is express."
examreview_103513521,8,"Practice of Real Estate and Disclosures, Including Specialty Areas",California Real Estate Recovery Fund,"What happens to a California real estate licensee if they are involved in a case and cannot pay the judgment amount, and the consumer is awarded money from the real estate Recovery Account?",Nothing! That is what the fund is for!,Their commissions will be garnished until the amount paid out to the victim is repaid.,"Their license will be suspended until they pay back the amount paid to the victim, plus interest.","They can continue to practice real estate, but must pay back the amount paid out, plus interest.",C,"Licensees must pay back any amounts paid out from the account, plus interest. Their license will be suspended until the amount is repaid."
examreview_103513521,9,Transfer of Property,Deeds,"A homeowner owned an acreage in a rural area. They sold a small portion of it to a neighbor in an informal transaction but made no record of the sale or change of ownership. A developer offered the homeowner several million dollars for the entire acreage, and they eagerly accepted the offer. What covenant is the homeowner in danger of violating?",Against encumbrances,Quiet enjoyment,Seisin,Warranty,C,"The covenant of seisin guarantees that the grantor owns the property that appears in the deed. Because the sale of property to Ari's neighbor was never recorded, his deed still shows that he owns the entire parcel."
examreview_103513521,10,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Which of the following scenarios describes information that a licensee must disclose?,The licensee heard a rumor that the city may buy houses on the street next year to build a freeway ramp.,The licensee learned that the property had a tax reassessment last year.,There are community-wide rumors that the property in question is haunted.,"The seller didn't disclose any leaks, but the licensee sees moisture on the basement floor.",D,"Any information a licensee knows about the physical condition of a property, or information that could be plainly noticed even if the seller doesn't disclose it, should be disclosed."
examreview_103513521,11,Property Valuation and Financial Analysis,Value,Which one of the following best describes the state of the market during the recession phase of the real estate cycle?,High but stabilized unemployment and a high number of foreclosures,"Increases in hiring, employment, and public confidence, and lots of buyers in the market","Properties selling for more than they're worth, many buyers in the market, and lots of new construction","Unemployment increasing, prices falling, and foreclosures on the rise",D,"During the recession phase, fewer buyers and increased unemployment can lead to an increase in foreclosures."
examreview_103513521,12,Laws of Agency and Fiduciary Duties,Disclosure of Agency,"Kamut met with Amy, a buyer, and showed her his new listing. If Amy is unrepresented, did Kamut err by not providing Amy with an agency disclosure?","No, because he is the listing agent",Only if Amy asked for advice or offered confidential information,"Yes, because any time you meet with a buyer, you must provide agency disclosure","Yes, because he showed her property",B,"Unless their conversation strayed into dangerous territory, this situation does not require that an agency disclosure be provided."
examreview_103513521,13,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,What is the purpose of the fair lending notice?,To disclose the demographic characteristics of approved mortgagors by the bank over the past five years.,To explain that financial institutions have the right to refuse to provide loans on homes in neighborhoods with historically high rates of foreclosure.,To notify mortgagors of their rights to equitable interest rates.,To notify mortgagors that it is illegal for financial institutions to discriminate on the basis of a protected class or on the basis of the characteristics of the neighborhood.,D,The purpose of the fair lending notice is to notify mortgagors that it is illegal for financial institutions to discriminate on the basis of a protected class or on the basis of the characteristics of the neighborhood.
examreview_103513521,14,Property Ownership and Land Use Controls and Regulations,Descriptions of Property,"Kelvin isn't sure how to read this legal description, but his agent said something about reading it from right to left. Here's the description: ""The north half of the northwest quarter of Section 6, Township 8 North, Range 68 west of the 5th principal meridian."" What land description method did surveyors use for this piece of property?",Lot and block,Metes and bounds,Monument and benchmark,Rectangular government survey,D,"Legal descriptions that use the RGSS usually include the state, name of the principal meridian, township, and range designations with compass directions and section numbers."
examreview_103513521,15,Property Valuation and Financial Analysis,Financial Analysis,Which of the following actions toward an appraiser would be considered proper?,Asking an appraiser to correct errors in the appraisal report,Making payment of an appraisal report conditional on the value or estimate to be reached,Threatening to no longer do business with an appraiser,Withholding payment for a completed appraisal report,A,"Real estate licensees can ask appraisers to correct errors in reports. This is a proper action. They cannot, however, withhold or threaten to withhold payment based on an appraisal report or make that payment conditional upon reaching a certain value."
examreview_103513521,16,Property Ownership and Land Use Controls and Regulations,Special Categories of Land,Which act requires developers to acquire a permit before development in a coastal zone?,California Coastal Act,CEQA,Grassland Protection Act,The Alquist-Priolo Act,A,The California Coastal Act requires developers to obtain a permit before development can occur in a designated coastal zone.
examreview_103513521,17,Financing,General Concepts,What is a loan origination fee?,A fee a lender charges for processing a loan,A fee a lender charges for servicing a loan,A fee a lender charges for the use of its money,A fee a lender charges when a borrower pays off a loan,A,"A loan origination fee is a fee a lender charges for processing, or initiating, a loan."
examreview_103513521,18,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"While showing your buyers through a home, you flipped on the light in the powder room and were concerned because the light switch felt warm. Why is this a concern?",Warm light switches might mean the house doesn't cool well.,Warm light switches might mean the house doesn't heat well.,Warm light switches might mean there is an electrical problem.,Warm light switches might mean there is a structural problem.,C,A light switch that's warm to the touch may be a sign of a fault or defect in the electrical system and should be checked out by an expert immediately.
