exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_104095564,1,Property Valuation and Financial Analysis,Value,Which of the following best describes the state of the market during the expansion phase of the real estate cycle?,High but stabilized unemployment and a high number of foreclosures,"Increases in hiring, employment, and public confidence, and lots of buyers in the market","Properties selling at inflated prices, many buyers in the market, and lots of new construction","Unemployment increasing, prices falling, and foreclosures on the rise",B,"Expansion is when activity starts to really pick up. Companies are hiring, so unemployment decreases. Higher employment means more buyers in the market and more overall public confidence."
examreview_104095564,2,"Practice of Real Estate and Disclosures, Including Specialty Areas",Transfer Disclosure Statement,Transactions involving which of the following properties require a Real Estate Transfer Disclosure Statement?,Five-unit apartment building,Hospital,Manufactured home,Retail store,C,"Residential home sales of dwellings of one to four units, including manufactured homes, require disclosures using the TDS."
examreview_104095564,3,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Sally is a real estate salesperson. How many hours of continuing education must she complete before the license expiration date in order to renew it for another four years?,25 hours,30 hours,45 hours,8 hours,C,Real estate brokers and salespersons must complete 45 hours of continuing education during the four years immediately preceding their license expiration date.
examreview_104095564,4,Property Ownership and Land Use Controls and Regulations,Public Controls,"Tres owns a warehouse in an area that is zoned light industrial. With an increased demand for housing in the area, Tres wants to create loft-style condos and have his property designated as residential, even though the surrounding buildings will remain light industrial. What type of zoning is this?",Aesthetic zoning,Downzoning,Incentive zoning,Spot zoning,D,Spot zoning allows a specific property to be rezoned within an existing zoning area. Spot zoning is illegal in some states.
examreview_104095564,5,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Jimbo doesn't yet have a real estate license. Which activity is he legally allowed to perform without one?,Give advice to a friend who is negotiating the purchase of a house.,List a friend or family member's home for sale for a fee.,Negotiate the sale of a house for two friends and receive a tip in thanks.,Receive payment for managing real estate.,A,Any activity performed for another and for a fee requires a license. Jimbo should be in the clear if he gives advice to his friend negotiating the purchase of a house as long as he's not compensated for it.
examreview_104095564,6,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,"What act requires sellers, landlords, and their agents to disclose any known lead hazards in the home?",DECs Lead Reduction Act,Federal Lead Disclosure Act,Residential Lead-Based Paint Hazard Reduction Act,Universal Lead-Based Paint Disclosure Act,C,The Residential Lead-Based Paint Hazard Reduction Act requires this disclosure. It also requires them to provide a lead safety pamphlet and any records they have of lead assessments or testing to prospective buyers.
examreview_104095564,7,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,"June has worked with buyers and sellers for years. When homeowners default on their mortgage, June acts as trustee for the deed of trust. Under the deed of trust, June has the authority to sell the property. Does June have a real estate license?","If she receives compensation for performing this activity, she must have a real estate license.","No, trustees selling properties under a deed of trust are exempt from licensure.",She only needs a real estate license if she is selling her own property.,"Yes, she is selling property for others. She must have a real estate license.",B,Certain individuals are exempt from obtaining a real estate license to perform real estate activities. Trustees selling properties under a deed of trust are exempt from licensure.
examreview_104095564,8,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"A brokerage offers flat fee, menu-based services. Two other firms decide to not show any of the brokerage's listings and to prohibit showings from its buyers to drive it out of business. What is this an example of?",A tie-in arrangement,Group boycotting,Market allocation,Price fixing,B,This is group boycotting because it involves a group of licensees agreeing not to do business with another group.
examreview_104095564,9,Property Valuation and Financial Analysis,Value,Which economic principle is in play when the smallest property's value increases because it's surrounded by higher-value properties?,Anticipation,Contribution,Progression,Regression,C,Progression is the bump in value that a lower-value property gets by being near a higher-value property.
examreview_104095564,10,Property Ownership and Land Use Controls and Regulations,Private Controls,A developer has a subdivision of 140 houses. The developer can place deed restrictions on as many as ______ properties.,140 (100%),35 (up to 25%),70 (up to 50%),Zero,A,"Deed restrictions can be placed on an individual property, an entire subdivision, or a neighborhood."
examreview_104095564,11,Property Ownership and Land Use Controls and Regulations,Encumbrances,A tax ____ is a legal claim to property as a means of satisfying a delinquent property tax debt.,Assessment,Bill,Lien,Valuation,C,A tax lien is a legal claim to property as a means of satisfying a delinquent property tax debt.
examreview_104095564,12,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Al is 70 years old and has held his real estate broker license in good standing for 30 consecutive years. His license is up for renewal soon. How many continuing education hours must he complete?,0 hours,30 hours,45 hours,8 hours,A,"Licensees who are at least 70 years old and who are licensed in good standing for at least 30 consecutive years are exempt from the continuing education requirements. They must still submit a renewal application and pay a fee, but they are exempt from CE."
examreview_104095564,13,Financing,General Concepts,A homeowner has applied for a home equity line of credit from his federally insured bank so that he can make some renovations to his kitchen. The same bank is his lender for his home mortgage. Will this loan be subject to Real Estate Settlement Procedures Act requirements?,"No, because the homeowner won't be using a real estate professional.","No, because there's no transfer of title involved.","Yes, because RESPA applies to any residential loan transaction from a federally insured financial institution, including equity lines of credit.","Yes, because the bank is also the lender for his home mortgage. If he'd used a different lender, RESPA would not apply.",C,"RESPA regulations apply to loans on one- to four-family residential properties, including assumptions, refinances, home improvement loans, and equity lines of credit."
examreview_104095564,14,Transfer of Property,Deeds,"Kandy was so excited to be buying her first home, a condo in a San Diego beach neighborhood. Thanks to an inheritance, she was able to pay for the property in cash! She gazed adoringly at her deed, admiring each of its elements that proclaimed her the sole owner of 1256 Voltaire Street, Unit 15. Which of these is NOT on Kandy's deed?",A granting clause,Kandy's signature,Names of the grantor and the grantee,The property description,B,Only the grantor is required to sign a deed to make it valid. Kandy is the grantee. The grantor's signature must be acknowledged in order for the deed to be properly recorded with the county.
examreview_104095564,15,Transfer of Property,Tax Aspects,"Your seller client has accepted an offer on his home, and you're on your way to closing. Which of these is NOT a tax aspect that you'll explain to your client (in basic terms) related to the transfer of property?","""If you make a profit on the sale of this property, you'll have to pay a capital gains tax when you file your income taxes.""","""Property taxes are prorated so you'll only pay for the time you owned the property.""","""When you're buying your next home, the transfer will trigger a reassessment for property tax purposes.""","""Your title will reveal any tax liens, so the title company will review it to ensure that isn't an encumbrance.""",A,"The seller isn't always going to owe capital gains on a profit from the sale of a home, since the IRS allows an exclusion for an individual of $250,000 of gain."
examreview_104095564,16,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,A county courthouse is exempt from property taxes because it is ______-owned.,Government,Previously,Privately,Publicly,A,"If a property is government-owned, it is exempt from property taxes."
examreview_104095564,17,Financing,Government Programs,Which of these items did the Federal Housing Administration (FHA) implement to stabilize and improve the mortgage market?,Educate the public about the benefits and responsibilities of having a mortgage,Establish the home inspection industry,Set construction standards for homes purchased with FHA loans,Set standards for interest rates on mortgage loans,C,"The FHA requires specific construction standards for buildings purchased with an FHA loan, which reduces lender and insurer risk."
examreview_104095564,18,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Bradley has a real estate salesperson's license. He's done some traveling recently and missed the deadline to renew his license. It's now 30 days past the expiration date. What must he do to renew his license?,Complete the continuing education requirements and submit a renewal and late fee.,File an appeal with the Real estate Commissioner.,Re-qualify for a real estate license by completing pre-licensing courses and passing the state licensing exam.,Retake the state licensing exam.,A,"Licenses expired less than two years follow the traditional renewal process, but Bradley will pay a late fee in addition to the renewal fee."
examreview_104095564,19,Financing,General Concepts,"An individual is purchasing a small craft shop, including the underlying real estate. She applies for a commercial loan from her federally insured bank to complete the purchase. Is this transaction covered by the Real Estate Settlement Procedures Act?",No. Commercial and business loans are exempt from RESPA requirements.,No. RESPA only applies to loans obtained from private lenders.,Yes. All loans secured by real estate are subject to RESPA requirements.,"Yes. Because the loan is from a federally insured financial institution, the loan is subject to RESPA requirements.",A,Commercial and business loans are exempt from RESPA.
examreview_104095564,20,"Practice of Real Estate and Disclosures, Including Specialty Areas",Agency Supervision,"Karla is a sponsoring broker who owns her own brokerage. She has two associate brokers and two salespersons, who all work as independent contractors. She also has an unlicensed assistant on payroll as an employee. Which of the following is true of Karla's liability?","Karla is liable for the actions of all members of her firm, both the independent contractors and the employee.",Karla is only liable for the actions of her associate brokers.,Karla is only liable for the actions of her associate brokers and salespersons.,Karla is only liable for the actions of her salespersons.,A,"Sponsoring brokers are liable for the activities of the members of their firm. This is true whether the members are independent contractors, such as salespeople and associate brokers, or employees."
examreview_104095564,21,"Practice of Real Estate and Disclosures, Including Specialty Areas",Specialty Areas,"You've been in real estate for a while, have your broker's license, and have been serving as an associate broker for several years. If you have business acumen and like managing people, a natural next step in your career would be becoming a _______.",Real estate broker,Real estate counselor,Real estate educator,Sales associate,A,A real estate broker supervises real estate licensees and owns a real estate firm.
examreview_104095564,22,Financing,Loan Brokerage,"Maura is a real estate salesperson who does not have an MLO endorsement. Which of these actions can she perform for her client, who is financing the purchase of a single-family home?",Offer to negotiate the terms of the client's loan application.,Offer to provide the client with a list of lenders they could consider working with to obtain the loan.,Service the client's loan.,Take the client's residential mortgage loan application.,B,"Taking a residential loan application, negotiating the terms of the loan, servicing the loan, or offering to do any of these activities for the client requires an MLO endorsement. Maura can provide her client with a list of lenders to consider."
examreview_104095564,23,Financing,Government Programs,"Borrowers obtaining a VA loan aren't required to have a down payment. However, they are required to pay _______.",A funding fee,Guarantee Insurance,Mortgage Insurance,VA tax,A,First-time homebuyers pay a funding fee of 2.15% (2.4% for those in the reserves or National Guard) if they don't have a down payment. This funding fee increases to 3.3% for second-time buyers.
examreview_104095564,24,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,What is the illegal practice of nudging buyers away from or toward a specific area based on the presence or absence of protected class members?,Blockbusting,Gerrymandering,Redlining,Steering,D,"Using an area's demographic make-up in order to steer protected classes away from or to specific neighborhoods is steering, and it's illegal."
examreview_104095564,25,Transfer of Property,Transfer Through Court Supervision,What might an individual's mother have bequeathed to them?,Their interest in an oil drilling operation,Their jewelry and fine china,Their primary residence,Their vacation property,B,"A bequest or legacy is a gift of personal property. In this case, the individual is the legatee (recipient)."
examreview_104095564,26,Financing,Loan Brokerage,"In relation to the work of an MLO, which of the following is an example of a residential mortgage loan?",A home equity line of credit,A loan taken by a developer to build a home,A loan taken to purchase a business,A loan taken to purchase an office building,A,"According to rules regulating mortgage loan originators, loans to purchase a residential property, refinance an existing residential real property loan, or a home equity line of credit are considered residential mortgage loans."
examreview_104095564,27,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Which activity can you perform without a license in California?,Negotiate rent for another tenant in the office building where you work.,Negotiate rent of an office building for the nonprofit where you work.,Negotiate the sale price of a friend's office building for a fee.,Sell your neighbor's house for a fee.,B,Negotiating a lease on behalf of your employer as tenant does not require a license.
examreview_104095564,28,Financing,Government Programs,"If a buyer puts the minimum 3.5% down on a $210,000 home and pays a MIP, what type of loan do they have?",Conventional,FHA,Standard,VA,B,"Based on the minimum down payment amount of 3.5% and the fact that they're paying MIP, the buyer has an FHA loan."
examreview_104095564,29,Property Ownership and Land Use Controls and Regulations,Classes of Property,Which of these is the best definition of real estate?,Everything that's not real property,"Land, plus all things permanently attached to it naturally or artificially","Real property, plus all of the interests, benefits, and rights included in ownership","The earth's surface extending downward to the center of the earth and upward to infinity, including permanently attached natural objects",B,"Real estate includes land, plus all things permanently attached to it naturally or artificially."
examreview_104095564,30,Transfer of Property,Types of Vesting,"Siblings Julia and Gene are co-owners of a small retail building in which a tanning salon is currently operating. Gene really wants to leave his ownership interest to his son when he dies, but the way in which they own the property doesn't allow him to do so. What type of ownership do they have?",Joint tenancy,Tenancy by the entirety,Tenancy in common,Tenancy in severalty,A,Joint tenancy does not include the right of inheritance; ownership interest passes to the remaining tenants once a tenant dies.
examreview_104095564,31,"Practice of Real Estate and Disclosures, Including Specialty Areas",Commercial/Industrial/Income Properties,Which of the following is one of the primary reasons that developers like to invest in unimproved land?,It looks good to top investors to have a portfolio of unimproved land.,It's easier to build on a blank canvas than it is to retrofit existing infrastructure.,It's profitable immediately.,"Structures are already erected on the land, limiting the development that needs to be done.",B,"Developers continue to buy unimproved land because it's easier to start with a blank canvas than it is to demolish and remove existing structures. Also, retrofitting can be costly and time consuming."
examreview_104095564,32,Financing,Types of loans,What are the main benefits to veterans of the VA-guaranteed loan program?,A VA guarantee of the property condition,Lower interest rates than are available on the open market,"No down payment, no mortgage insurance, and no prepayment penalty",Reduced homeowner's insurance requirements,C,"Veterans benefit because the VA requires no down payment, no mortgage insurance, and doesn't have a prepayment penalty."
examreview_104095564,33,Financing,Types of loans,What attracts borrowers to adjustable rate mortgages?,Balloon payment,Convertible feature,Initial cap,Lower initial interest rate,D,Some consumers are attracted to ARMs because of their lower interest rate for an initial period of one to several years.
examreview_104095564,34,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,Jacqueline is a licensee working with a property near a Superfund site. Which of these statements is true?,A portion of the sale price must go to the EPA to fund clean-up of the site.,She must disclose potential health threats to anyone in the area when showing the property.,She must disclose the existence of an environmental hazard in the area.,The property can't be sold until the site is removed from the NPL.,C,"A property with a known Superfund site in the vicinity requires disclosure, as this is a material fact."
examreview_104095564,35,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Which of the following is true of agreeing with a competitor to segment the market between you?,It's an example of a tie-in arrangement and an antitrust violation.,It's an example of group boycotting and an antitrust violation.,It's an example of market allocation and an antitrust violation.,It's permissible.,C,This action reduces choices for consumers and reduces competition. This is illegal market allocation.
