exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_103602303,1,Laws of Agency and Fiduciary Duties,Disclosure of Agency,"Brad is a dual agent representing Gina and Dawn as buyer and seller, respectively. If Gina tells Brad that Dawn's home was her childhood home and she is absolutely determined to live there, may Brad share this with Dawn?","No, because this is confidential information.","Yes, because Dawn may be willing to cut Gina a break because of the family connection to the property.","Yes, Dawn will think that is cute.","Yes, he must tell her because it is a material fact.",A,This is confidential information and not a material fact that should be shared. It goes to Gina's motivation and could compromise her negotiating position.
examreview_103602303,2,Contracts,Offers/Purchase Contracts,"A buyer signed a contract form offering a purchase price of $309,000, and gave his agent a $5,000 earnest money deposit. The owner is out of town and her agent can't reach her. At this point, what does the buyer have?",An executory contract,An implied contract,An offer,A voidable contract,C,"Until the terms are negotiated and the contract is signed by both parties, acceptance hasn't occurred and the sales contract is considered an offer."
examreview_103602303,3,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,"Which act provides consumers with remedies if they become victims of discrimination in the sale, rental, or financing of housing?",Civil Rights Act of 1866,Equal Credit Opportunity Act of 1974,Fair Housing Amendments Act of 1988,Housing and Community Development Act of 1974,C,"In 1988, the Fair Housing Amendments Act provided consumers with certain remedies for discrimination, which added teeth to existing laws."
examreview_103602303,4,"Practice of Real Estate and Disclosures, Including Specialty Areas",Agency Supervision,"What may real estate licensees be classified as for tax purposes, even though they're subject to supervision from a more experienced broker?",Employees,Employment agency employees,Independent contractors,Unlicensed assistants,C,"Even though real estate licensees are supervised by a more experienced broker, they can be classified as independent contractors for tax purposes."
examreview_103602303,5,Financing,Types of Loan Originators,Shelly's flower business is blooming and it's time for her business to grow. She plans to take out a business loan to open two more shops on the north side of town. Which lending institution would she most likely go to for the loan?,A commercial bank,A credit union,An investment group,A savings and loan,A,"Commercial banks, like Chase, offer consumer and business loans."
examreview_103602303,6,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Lot and Block Realty received a cease-and-desist order from the FTC due to misleading ads the firm was running. When does the order become effective?,30 days after issuance,90 days after issuance and for 120 days total,Immediately upon issuance,Retroactive from the first date of the prohibited activity,C,A cease-and-desist order is effective immediately.
examreview_103602303,7,Transfer of Property,Title Insurance,"You're working with a client, Donny, who's found his dream home in the neighborhood where he grew up. Unfortunately, the title search finds some issues and the title company refuses to issue a policy. Donny still wants to go forward with the purchase, and since he's paying cash, he doesn't have to worry about obstacles from a lender. In California, what is one thing that has to happen in this situation?",Donny must receive written notice that no title insurance will be provided.,The escrow agent must record the refusal to provide title insurance with the county clerk and recorder.,The seller must use a warranty deed to transfer ownership rather than a grant deed.,You must refuse to continue representing Donny in order to protect your license.,A,"California law requires the buyer to receive notice if title insurance won't be provided. This notice has specific language that must be used, and the notice must be acknowledged by the buyer."
examreview_103602303,8,Property Ownership and Land Use Controls and Regulations,Encumbrances,"Daisy and her kids loved their new pool, but Daisy wasn't so happy when she received notice that the general contractor who poured the concrete had placed a lien on her home. Daisy went through her records and discovered that she had never paid the general contractor. What's true about this situation?",Daisy can now place a lien on the general contractor's property.,The lien is illegal.,This is a legal judgment lien.,This is a legal mechanic's lien.,D,"This is a legal mechanic's lien, because Daisy failed to pay her general contractor."
examreview_103602303,9,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,"A homeowner has converted two rooms in his home to a rental unit. What does the ""Mrs. Murphy"" exemption permit him to do?",Advertise for a tenant of a specific race.,"Move out of the property and rent both portions of it, relying on the ""Mrs. Murphy"" exemption to permit renting only to single women.",Refuse to rent to women.,Use the services of a real estate professional to advertise for a tenant who is a man.,C,"The ""Mrs. Murphy"" exemption applies to owner-occupied buildings with no more than four units. The owner may choose to rent only to a like-sex tenant but may not discriminate on any other basis."
examreview_103602303,10,Contracts,General,Which of the following individuals would be a competent party to a contract?,"Byron, a 17-year-old MENSA member","Claudia, a 37-year-old in-patient receiving treatment for schizophrenia","Graciella, a 28-year-old unemployed parolee","Norman, a 40-year-old heroin addict",C,Individuals are considered competent parties if they have reached the age of majority (not a minor) and are of sound mind (free of mental illness or the influence of anything that impairs mental capacity).
