exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_103669010,1,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Which of these statements accurately describes finance- and housing-related legislation?,"As a stipulation of the Housing and Community Development Act, lenders must offer reasons when rejecting loan applications and must respond to all applications within 30 days.",The Americans with Disabilities Act added familial status and disability (both physical and mental) to the existing protected classes.,"The Equal Credit Opportunity Act of 1974 required lenders to provide consumers with equal access to credit and prohibited credit discrimination based on just the three protected classes of race, color, or national origin.","The Fair Housing Act of 1968 prohibited discrimination in the sale, rental, and financing of housing based on race, color, religion, or national origin.",D,"The Fair Housing Act of 1968 made race, color, national origin, and religion protected classes and prohibits housing and housing financing discrimination. The ECOA prohibits discrimination based on any protected class."
examreview_103669010,2,Property Valuation and Financial Analysis,Value,"Interest rates, availability of credit, and employment trends are examples of which force that influences property value?",Economic,Physical/environmental,Political/governmental,Social,A,"These are examples of economic forces that influence value. These tend to deal with monetary factors, such as interest rates and employment rates."
examreview_103669010,3,Financing,Government Programs,Which is one of the benefits of the USDA loan program?,Farmers don't pay interest rates.,It provides rural home financing for low-income borrowers.,No down payment is required.,There's no limit to the loan amount.,C,The USDA loan program doesn't require a down payment for the loan.
examreview_103669010,4,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"Which agency prohibits unfair acts, practices, or methods of competition, and enforces federal antitrust and consumer protection laws nationally?",Attorney general's office,Consumer Reports,Federal Trade Commission,National Bar Association,C,Several agencies are involved in antitrust law and enforcement. The FTC has the authority to determine if practices are unfair and to enforce compliance with the Sherman and Clayton acts.
examreview_103669010,5,Financing,Mortgages/Deeds of Trust/Notes,Which of these is a reason that the deed of trust is the standard security instrument used in California real estate transactions?,Because California foreclosure laws allow a statutory right of redemption of up to one year with a judicial foreclosure.,Because California is a lien theory state.,Because California is a title theory state.,Because California laws don't allow judicial foreclosure.,A,"California's foreclosure laws make the deed of trust the preferred instrument, even though it's a lien theory state."
examreview_103669010,6,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,"If a lien is released because the tax debt has been satisfied prior to further action being taken, the property owner will receive a certificate of _____________.",Achievement,Disposition,Redemption,Transfer,C,A certificate of redemption is issued once the property tax debt has been satisfied.
examreview_103669010,7,Transfer of Property,Escrow,Which document provides an estimate of the costs a buyer is likely to pay at settlement before the closing?,Abstract of title,Closing Estimate,Loan Estimate,Sales agreement,C,The Loan Estimate provides buyers with the costs they are likely to pay at settlement and is closely related to the actual costs at closing on the closing disclosure.
examreview_103669010,8,Contracts,Offers/Purchase Contracts,Which of these scenarios could lead to a breach of contract lawsuit over the sale of a tenant-occupied property?,"The buyer agrees that the tenant will remain in possession, then gives 90 days' notice to a month-to-month tenant after closing.",The rent in the existing lease agreement does not cover the cost of the buyer's new mortgage payment.,"The seller agrees that the premises will be vacated by closing, then never gives the tenant notice.","The seller indicates that the tenant will remain in possession, and the tenant does remain.",B,"A seller who indicates in writing that the property will be vacant, but then does not deliver on that promise, is in breach of contract."
examreview_103669010,9,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Your home inspector Mason found some discoloration in the attic and near the windows on the second floor. Why does he think this may be a concern?,Dark stains in the attic could mean plumbing problems.,It could be a sign of fire damage.,It means that the homeowners haven't insulated well.,It's indicative of insect activity.,B,Discoloration in the attic or around windows and doors can be signs of a previous fire. The discoloration could be from smoke moving to the highest level of the house or escaping out openings in the home.
examreview_103669010,10,Property Ownership and Land Use Controls and Regulations,Private Controls,Which of the following describes a deed restriction?,"It can be placed on a single property, an entire subdivision, or a neighborhood.",It ensures compliance with zoning and public safety and preserves property value.,It must be placed by the property owner within one year of purchasing the property.,It's limited to three years in duration.,A,A subdivision developer may place deed restrictions prior to offering properties for sale.
examreview_103669010,11,"Practice of Real Estate and Disclosures, Including Specialty Areas",Specialty Areas,Rob is a real estate broker who enjoys helping buyers locate loan programs that suit their financial situation. What's an obvious alternate career path for Rob?,Mortgage broker,Real estate appraiser,Real estate educator,Real estate stager,A,Mortgage brokers match borrowers with loan programs.
examreview_103669010,12,"Practice of Real Estate and Disclosures, Including Specialty Areas",Reports,Where is the Residential Earthquake Hazards Report found?,In the Homeowner's Guide to Earthquake Safety,In the Natural Hazards Disclosure Statement,In the Real Estate Transfer Disclosure Form,In the Residential Environmental Hazards booklet,A,This disclosure form is found at the end of the booklet called Homeowner's Guide to Earthquake Safety.
examreview_103669010,13,Laws of Agency and Fiduciary Duties,Responsibilities of Agent to Seller/Buyer as Principal,Which statement about the fiduciary duty of confidentiality is true?,It doesn't extend to material facts relating to the property.,"It encompasses any and all information the client tells the agent, not just confidential information.",It ends with the termination of the agency agreement.,It never conflicts with the duty of disclosure.,A,"Agents are required to keep their client's confidential information confidential, but only if the information doesn't include material facts relating to the property."
examreview_103669010,14,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,What protected class is involved when there is discrimination due to a person being lighter-skinned or darker-skinned?,Color,Familial status,National origin,Race,A,"Different skin colors exist, even within the same racial group, and some people may have been treated unfairly because of their skin color."
examreview_103669010,15,"Practice of Real Estate and Disclosures, Including Specialty Areas",Specialty Areas,Marketing exclusively to which of the following niches may be illegal?,Catholic parishes,Commercial investors,Dentists,First-time buyers,A,"Marketing solely to a protected class, such as members of a given religion, could be viewed as discriminatory."
examreview_103669010,16,Property Ownership and Land Use Controls and Regulations,Public Controls,What purpose does bulk zoning serve?,It homogenizes the look of the area.,It keeps similar races together.,It provides increased density.,It restricts building density.,D,Bulk zoning restricts the density of buildings in an area through practices like setbacks and open space requirements.
examreview_103669010,17,Laws of Agency and Fiduciary Duties,Disclosure of Agency,"To whom must a licensee, representing a buyer, disclose agency status?",All parties in the transaction,Broker,Buyer,Seller,A,Licensees must disclose their agency status and any close personal relationship with any of the parties to all of the parties in a transaction.
examreview_103669010,18,Contracts,Promissory Notes/Securities,"When a borrower has paid off the loan, how is the release handled if the security instrument is a deed of trust?",The lender executes and records a satisfaction of mortgage and returns the note to the borrower.,The lender returns the note and deed of trust documents to the borrower.,The trustee executes and records a deed of reconveyance and the lender returns the note to the borrower.,The trustee files for a release of lien and the lender returns the note to the borrower.,C,"When a borrower has paid the loan in full, it is the trustee's responsibility to execute and record a deed of reconveyance."
examreview_103669010,19,Financing,Types of Loans,"Joseph's got B-rated credit, and his commercial bank suggested he check with the specialty mortgage company down the street because they deal in subprime loans. What's NOT true about Joseph's situation?",A subprime loan may be a legitimate chance for Joseph to get a mortgage to buy the home he wants.,"Joseph is likely to pay more in interest for a subprime loan, if the specialty mortgage company approves him for it.",Joseph's B credit rating is what makes him a candidate for a subprime loan.,"Joseph should avoid taking the commercial bank's advice, since a subprime loan is most likely made by a predatory lender.",D,"Yes, there are some lenders with unscrupulous practices, but there are also legitimate lenders who help people like Joseph achieve their dream of homeownership by offering subprime loans."
examreview_103669010,20,"Practice of Real Estate and Disclosures, Including Specialty Areas",Commercial/Industrial/Income Properties,What are the two types of real estate investment trusts?,Debit and credit,Mortgage and equity,Mortgage and lease,Residential and commercial,B,The two major investment choices for REITs are mortgage and equity.
examreview_103669010,21,Property Ownership and Land Use Controls and Regulations,Encumbrances,What type of easement is created when the government exercises its right of eminent domain?,Easement by condemnation,Easement by grant,Easement by implication,Easement by prescription,A,This is a type of easement that only the government is allowed to use through its power of eminent domain.
