exam_name,question_number,topic,subtopic,question_text,A,B,C,D,correct_label,explanation
examreview_103641172,1,Contracts,Buyer Broker Agreements,Which of these is NOT a C.A.R. form option available to California licensees for buyer broker agreements?,Exclusive,"Exclusive, no compensation",Non-exclusive,"Non-exclusive, no compensation",B,The C.A.R. forms don't offer an option for exclusive buyer representation without an accompanying requirement for compensation from the buyer if the seller doesn't pay the compensation.
examreview_103641172,2,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,What must be provided to consumers who are buying homes built prior to 1978?,A list of lead-abatement contractors,An Environmental Conservation Law handout,"The EPA pamphlet titled ""Protect Your Family from Lead in Your Home""",The hotline number for Lead Poison Control,C,"The EPA pamphlet, ""Protect Your Family from Lead in Your Home,"" must be provided to buyers when the home they are buying was built prior to 1978."
examreview_103641172,3,Property Ownership and Land Use Controls and Regulations,Encumbrances,"A lender and a borrower sign a mortgage agreement, placing a(n) ______ lien against the borrower's home.",Involuntary and general,Involuntary and specific,Voluntary and general,Voluntary and specific,D,"The mortgage lien is voluntary because the homeowner consents to the lien, and specific because it is attached to only one property."
examreview_103641172,4,Financing,Types of Loans,Which type of loan is commonly used for the purpose of building improvements?,Commercial loan,Construction loan,Mortgage loan,Share loan,B,A construction loan provides short-term financing for the purpose of constructing improvements.
examreview_103641172,5,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Which of the following is required on any first-point-of-contact advertising?,License number,Personal contact information,Personal photo,Sales volume,A,"The license number, the licensee's name, and the responsible broker's identity is required on any first- point-of-contact advertising."
examreview_103641172,6,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Jim would like to sell his own home. What is the minimum real estate license he must possess?,Associate broker,Broker,None,Salesperson,C,"Remember that in this case, Jim isn't performing real estate activities for others for compensation."
examreview_103641172,7,Property Ownership and Land Use Controls and Regulations,Special Categories of Land,What type of natural hazard area is designated by local agencies?,Earthquake fault zone,Forest fire hazard area,High fire hazard area,Seismic hazard area,C,High fire hazard areas are designated as such by local agencies.
examreview_103641172,8,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"Your buyers step outside to view the backyard of a property they're touring, but then they can't get the back door closed again. You recognize that this could be a symptom of ____, and realize that if they are interested in this property, they will want to discuss this issue with a home inspector.",A foundation problem,An HVAC problem,Constant freezing and thawing,Poor general maintenance on the home,A,Misaligned doors and windows or cracked drywall can indicate that there are settlement problems with the foundation.
examreview_103641172,9,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Which of the following can indicate issues with heating and cooling?,A furnace or air conditioning unit that does not kick on when the temperature is adjusted,Consistent temperatures throughout the home,Moisture in the basement,Windows that won't open or close,A,"If the furnace or A/C doesn't kick on when the temperature is adjusted, this could indicate problems with the heating and cooling systems. Homeowners should have these units regularly inspected."
examreview_103641172,10,Property Valuation and Financial Analysis,Financial Analysis,A group of investors are purchasing a commercial investment property and plan to use straight-line depreciation on their financial statements and tax calculations. Which of the following would NOT be included in their depreciation basis calculations?,The cost of the electrical system upgrades they did after purchase,The cost of the title insurance for the property,The loan origination and lender fees that they paid at closing,"The price that they paid for the property, minus any land costs",C,"The depreciable basis is made up of the sales price plus any acquisition costs, such as title insurance, and capital improvements. Loan costs aren't included in the basis, but something like electrical system upgrades are capital improvements."
examreview_103641172,11,"Practice of Real Estate and Disclosures, Including Specialty Areas",Need for Inspection and Obtaining/Verfiying Information,"When a buyer is represented by a licensee, who is responsible for following up on issues identified in the inspection report to ensure that they are addressed?",The buyers,The buyer's agent,The listing agent,The sellers,B,"The licensee representing the buyers is responsible for tracking any issues the inspection uncovers and the sellers agree to repair, to ensure that they are repaired prior to closing."
examreview_103641172,12,Property Ownership and Land Use Controls and Regulations,Public Controls,"The developer of a new subdivision is placing residential properties closer together, allowing him to include large open spaces throughout the development to build bike and walking trails, as well as a community pool and recreation center. What type of zoning is this?",Cluster,Conforming,Non-conforming,Spot,A,"Cluster zoning allows developers to place residential properties close together, leaving large open spaces for community amenities."
examreview_103641172,13,Property Valuation and Financial Analysis,Value,Which of the following best describes a seller's market?,Demand is greater than supply.,Loans are widely available.,Supply and demand are equal.,Supply is greater than demand.,A,"When there are more buyers than there are properties, the seller has the advantage. This is a seller's market."
examreview_103641172,14,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","You have a listing agreement with Sam. Because of this, what is Sam's relationship to you?",Client,Confidante,Customer,Friend,A,"An agency agreement exists, which makes Sam your client."
examreview_103641172,15,Contracts,General,A valid contract must include which of the following elements?,Counter-offer,Electronic signature,Fairness clause,Legally competent parties,D,"To be valid, a contract needs to be in writing and have legally competent parties, as well as an offer and acceptance, legal purpose, and consideration."
examreview_103641172,16,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Which one of these classes is protected under California fair housing law?,Convicts,Drug addicts,Smokers,Source of income,D,"Source of income is a protected classification in California. This is not one of the seven federally protected classes, though."
examreview_103641172,17,Property Ownership and Land Use Controls and Regulations,Encumbrances,What would happen if you bought a house and later found out that there were unpaid liens against the property?,Nothing. The former owner owes the money on the liens.,The lien claimants would lose their liens against your property.,The unpaid liens could trigger a foreclosure on your property.,You would have to assume a loan to pay off the liens.,C,"If there are unpaid liens on a property after you buy it, you could lose the property to foreclosure."
examreview_103641172,18,Financing,Types of Loans,"According to the PMI Act of 1998, at what percentage of equity position does private mortgage insurance automatically cancel for homeowners?",20%,21%,22%,25%,C,"The automatic cancellation is 22%, but homeowners can petition for removal once their equity position reaches 20%."
examreview_103641172,19,Property Ownership and Land Use Controls and Regulations,Encumbrances,"You've just purchased a rural property, and the attorney at the closing tells you, ""You have a dominant estate."" What does that mean to you?",The property comes with an easement in gross granted to the utility company.,You'll be using an easement across your neighbor Jim's property.,"Your property has an easement granted to your neighbor Jim, allowing him to cross your property to access his land.",Your property has direct access to a road and doesn't require an easement.,B,"The dominant estate or dominant tenement is the property that benefits from the easement. When you use an easement across your neighbor's property, your property benefits and is the dominant estate."
examreview_103641172,20,Property Ownership and Land Use Controls and Regulations,Types of Ownership,A tenant rents a single-family home from its owner. What type of interest does the owner have in the property?,Freehold,Homestead,Leasehold,Lifelong,A,Property owners have a freehold interest in the property.
examreview_103641172,21,Contracts,General,"What is a contract that is based on an understanding or assumption, rather than on specifically defined terms?",Express contract,Implied contract,Invalid contract,Unilateral contract,B,The terms of an implied contract are not specifically defined in words. The actions expected of parties to an implied contract are generally assumed based upon social standards or customs.
examreview_103641172,22,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"When you represent a seller in a residential transaction, you will complete a ______________ as part of the disclosure process.",Crime statistics report,Local schools search,Title search,Visual inspection of the property,D,Real estate agents participating in a residential transaction have a duty to perform a visual inspection of the property to determine if there are any material defects with the physical condition that must be disclosed to the buyer.
examreview_103641172,23,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,Sally just obtained her salesperson license. How long is the license valid?,Four years,One year,Three years,Two years,A,"Real estate licenses are issued for a term of four years. During that period, licensees must complete certain requirements in order to renew their license."
examreview_103641172,24,Contracts,Promissory Notes/Securities,"After getting into a fender bender, Parker had to buy a new car. To make the down payment on the car, he had to skip a couple of his mortgage payments. He received a notice from his lender indicating the remaining amount of his loan is due immediately and in full. What clause in his mortgage stipulates this?",Acceleration,Alienation,Defeasance,Due-on-sale,A,The acceleration clause gives the lender the right to make all money owed immediately due and payable if the borrower defaults.
examreview_103641172,25,"Practice of Real Estate and Disclosures, Including Specialty Areas",Agency Supervision,Which of the following statements applies to independent contractors?,Their broker sets their work hours.,Their broker supervises them.,Their work must be done in a specific location.,"They're paid by the hour, not by the job.",B,"Unlike employees, independent contractors can set their own hours, work in any location, and be paid by the job, not by the hour. However, both employees and independent contractors are subject to broker supervision."
examreview_103641172,26,Property Ownership and Land Use Controls and Regulations,Types of Ownership,"In California, an estate for years is known as ______.",Annual chattel,Chattel annual,Chattel real,Personal interest,C,"An estate for years, such as a year-long lease, is known as chattel real in California."
examreview_103641172,27,Transfer of Property,Transfer Through Court Supervision,A lender seeks the court's permission to foreclose on a property used as collateral for a loan that is in default. What type of foreclosure process is likely being used?,Arbitration,Deed in lieu of foreclosure,Judicial foreclosure,Non-judicial foreclosure,C,Judicial foreclosures require court involvement.
examreview_103641172,28,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,The Unruh Civil Rights Act prohibits discrimination against protected classes by ______ establishments.,All business,All for-profit,Only non-profit,Only real estate,A,The Unruh Civil Rights Act protects specific classifications of people from discrimination by all business establishments. The act also extends protections to those bearing characteristics similar to the protected classes.
examreview_103641172,29,Financing,Types of Loans,Which of these statements best describes a purchase money mortgage?,"It may be a first mortgage, a junior mortgage, or a junior wrap-around mortgage.",The funds are often used for home renovations or to fund a college education.,"The lender is loaning on land, air, and a promise to build.",The lender makes payments to the homeowner for a certain period of time and gains corresponding ownership.,A,"With a purchase money mortgage, the seller is the mortgagee and the buyer is the mortgagor. This mortgage may be a first mortgage, a junior mortgage, or a junior wrap-around mortgage."
examreview_103641172,30,Property Ownership and Land Use Controls and Regulations,Encumbrances,Why would a buyer want to know if any easements or encroachments exist on a property?,Both easements and encroachments are illegal. The buyer could end up in court.,"Easements and encroachments affect the property's lot size, enjoyment, and use, which can affect its value.",The buyer may need this information to provide evidence for litigation.,The buyer will have to remove these before the property can be re-sold.,B,"A property's lot size, enjoyment, use, and value can be impacted by easements or encroachments."
examreview_103641172,31,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,What process is used when the government takes a property using the power of eminent domain?,Condemnation,Encroachment,Encumbrance,Escheat,A,"When the government actually takes someone's property and offers the owner just compensation for the property's value, it's called condemnation."
examreview_103641172,32,Financing,General Concepts,What's another term for back-end ratio?,Housing ratio,Loan-to-value ratio,Payment ratio,Total debt ratio,D,The total debt (or debt-to-income) ratio is also known as the back-end ratio.
examreview_103641172,33,Financing,General Concepts,What's another term for front-end ratio?,Housing,Loan-to-value,Payment,Total debt,A,The housing ratio is also known as a front-end ratio.
